,XGBoost,LightGBM,RandomForest,ExtraTrees,GradientBoosting
0,0.0041987724,662,0.007811250177962349,0.02933812013103381,0.0005974037159943896
1,0.002634847,16,0.001973292460315228,0.08953043829025832,0.0001712515908591462
2,0.0055341334,904,0.01927259962508513,0.030890015701296954,0.0014585955781745278
3,0.0026369623,759,0.015171397384054524,0.03677705384992588,0.0012362550675255573
4,0.002283754,21,0.0013718830860980009,0.11561367120052685,0.0
5,0.0022411498,837,0.02178761146470408,0.021964914525799878,0.0009173744874539106
6,0.031115588,1815,0.10060621493003198,0.051727919494773955,0.004067262165347937
7,0.011271891,475,0.08130618282150984,0.0530717181105444,0.008132438385257967
8,0.3412428,1875,0.16636224807726402,0.0668096057453117,0.7782509764914886
9,0.29303816,816,0.1383556435872743,0.11316895056603803,0.19167196167833683
10,0.25850138,577,0.1339305714077163,0.08765608376353916,0.0012194263652294884
11,0.008081102,1758,0.1312155065630387,0.07477692365193284,0.004746394274839094
12,0.0049715824,14,0.001400177805074059,0.022940949868407473,4.779781563452419e-05
13,0.005757329,202,0.01090440114945372,0.03942537500782388,0.0002818240539157041
14,0.0022184406,1064,0.08966881382007935,0.05637038602656275,0.0018665085080500894
15,0.007953564,61,0.014971414673214781,0.019830984605296545,0.000348029993034298
16,0.008865609,346,0.030762920020424384,0.03081406841522755,0.0014616476347503583
17,0.0024261742,252,0.019333129951292934,0.022917423347291684,0.0007017557534506708
18,0.0024581056,1487,0.008080301893663095,0.015313424439095573,0.0017187873337636158
19,0.0025687276,276,0.0057144391017431165,0.021061973259312833,0.001104309106893218
